item_id,timestamp,target_value,backtestwindow_start_time,backtestwindow_end_time,p33,p50,p90,mean,p75
1,2021-11-28T11:15:00Z,178.324,2021-11-26T19:15:00,2021-12-02T00:00:00,256.56509748933547,274.4587717025819,351.4483851022684,278.7530205044377,308.9553080988281
1,2021-11-28T11:30:00Z,226.909,2021-11-26T19:15:00,2021-12-02T00:00:00,280.0408604097587,301.6697133974369,371.1112777149589,303.10758519620987,332.703213465683
1,2021-11-28T11:45:00Z,239.066,2021-11-26T19:15:00,2021-12-02T00:00:00,287.99071428836794,305.78216716646057,381.8707592408437,310.3041147038245,334.14084547830254
1,2021-11-28T12:00:00Z,242.769,2021-11-26T19:15:00,2021-12-02T00:00:00,283.70348855378955,304.5346139572408,362.4915000346447,303.110165604892,332.6674652904259
1,2021-11-28T12:15:00Z,327.986,2021-11-26T19:15:00,2021-12-02T00:00:00,274.1947414003763,293.3358926296945,366.1011461719528,298.5213233949396,332.506162131879
1,2021-11-28T12:30:00Z,324.753,2021-11-26T19:15:00,2021-12-02T00:00:00,279.0080372737785,298.9526673683618,370.7727470378487,301.46824186475834,327.967248770659
1,2021-11-28T12:45:00Z,317.724,2021-11-26T19:15:00,2021-12-02T00:00:00,286.2135102557157,303.74985212680883,387.6448335133394,308.65597887813493,336.14389806699813
1,2021-11-28T13:00:00Z,315.169,2021-11-26T19:15:00,2021-12-02T00:00:00,278.7907538927581,297.23265951831615,380.1781878395291,300.0744938169527,330.51173289865756
1,2021-11-28T13:15:00Z,278.672,2021-11-26T19:15:00,2021-12-02T00:00:00,255.60736675650796,273.6149419549439,349.2279859766478,277.78444782234294,306.908037834876
1,2021-11-28T13:30:00Z,301.647,2021-11-26T19:15:00,2021-12-02T00:00:00,279.1976050828637,297.9293262467383,373.39273819387944,302.7646507054998,337.57370212076
1,2021-11-28T13:45:00Z,303.891,2021-11-26T19:15:00,2021-12-02T00:00:00,281.61762468980265,298.9900812973532,376.02256821565305,304.931102391973,330.1804152687685
1,2021-11-28T14:00:00Z,295.135,2021-11-26T19:15:00,2021-12-02T00:00:00,285.6675175568683,304.5670861341126,378.5154202124198,306.83791207227614,334.4661025704253
1,2021-11-28T14:15:00Z,259.107,2021-11-26T19:15:00,2021-12-02T00:00:00,261.0325167533407,278.50897358761233,352.1099836806579,281.84573679231835,310.943094596983
1,2021-11-28T14:30:00Z,272.138,2021-11-26T19:15:00,2021-12-02T00:00:00,279.31748667706563,301.119693431655,372.8499268913025,301.5398211585406,328.77218366758825
1,2021-11-28T14:45:00Z,290.027,2021-11-26T19:15:00,2021-12-02T00:00:00,279.60240467504565,299.8634357317474,373.0634367287359,305.60932611199723,332.53496429943607
1,2021-11-28T15:00:00Z,291.675,2021-11-26T19:15:00,2021-12-02T00:00:00,289.0674135218352,307.5104578423005,382.11186740763804,313.66884314896674,350.70922643800895
1,2021-11-28T15:15:00Z,239.733,2021-11-26T19:15:00,2021-12-02T00:00:00,259.010685891302,279.56346870258733,347.56230560027655,279.88239224360063,308.70689696330055
1,2021-11-28T15:30:00Z,254.72,2021-11-26T19:15:00,2021-12-02T00:00:00,285.7592356933256,306.96476760882916,377.20688939304637,307.46156278017867,344.1060697379005
1,2021-11-28T15:45:00Z,266.185,2021-11-26T19:15:00,2021-12-02T00:00:00,291.0617378512382,309.23285761808495,378.45913341387984,312.17244627401834,339.8567270323166
1,2021-11-28T16:00:00Z,284.819,2021-11-26T19:15:00,2021-12-02T00:00:00,291.88622195220415,310.19695237301573,383.8315627412648,312.8668664782417,340.7079610227988
1,2021-11-28T16:15:00Z,249.192,2021-11-26T19:15:00,2021-12-02T00:00:00,271.04961175599027,291.1949593735817,361.3740610066605,293.2650155000654,321.61306933891876
1,2021-11-28T16:30:00Z,257.076,2021-11-26T19:15:00,2021-12-02T00:00:00,296.2848489251433,314.6754236892451,382.1299264678836,316.9954176912467,343.8230853021616
1,2021-11-28T16:45:00Z,281.893,2021-11-26T19:15:00,2021-12-02T00:00:00,298.92651010002527,318.6627285660716,395.69110388559585,322.4460794604777,357.61581911766336
1,2021-11-28T17:00:00Z,279.71,2021-11-26T19:15:00,2021-12-02T00:00:00,290.5238114047403,311.5972231108796,391.44259358590085,316.7513283586705,350.3844255306255
1,2021-11-28T17:15:00Z,214.237,2021-11-26T19:15:00,2021-12-02T00:00:00,265.4146417129655,283.3906391203498,368.8588958464172,291.50494870637,317.3651543268229
1,2021-11-28T17:30:00Z,251.792,2021-11-26T19:15:00,2021-12-02T00:00:00,295.1184323446213,311.7711602866841,385.7885114278102,315.2546996857439,340.84014046129204
1,2021-11-28T17:45:00Z,305.825,2021-11-26T19:15:00,2021-12-02T00:00:00,303.9982197528517,324.85145257967207,403.99829026021087,328.5125657103221,356.85435187009153
1,2021-11-28T18:00:00Z,244.147,2021-11-26T19:15:00,2021-12-02T00:00:00,301.62633034339376,318.9939018635031,396.40787243282307,322.66573206464767,350.3775240048022
1,2021-11-28T18:15:00Z,193.857,2021-11-26T19:15:00,2021-12-02T00:00:00,275.6450205622847,298.4240270983893,376.4386673277112,301.987233435509,331.421441320711
1,2021-11-28T18:30:00Z,284.113,2021-11-26T19:15:00,2021-12-02T00:00:00,296.5857890292012,315.56574354339654,382.28493495148473,316.13424873249795,343.50361541980885
1,2021-11-28T18:45:00Z,257.071,2021-11-26T19:15:00,2021-12-02T00:00:00,297.0023375669128,316.52961907232674,393.6185229116162,322.3193594152243,348.1029310522333
1,2021-11-28T19:00:00Z,261.567,2021-11-26T19:15:00,2021-12-02T00:00:00,291.55282464573014,314.98200089647924,390.7052046304188,318.4110752345295,356.85355189415213
1,2021-11-28T19:15:00Z,208.634,2021-11-26T19:15:00,2021-12-02T00:00:00,271.909208934554,290.4960573227012,364.47270827581644,294.8837881031915,320.8461327854091
1,2021-11-28T19:30:00Z,248.324,2021-11-26T19:15:00,2021-12-02T00:00:00,294.6772404370648,312.627176489809,382.9386828912852,317.6246457958382,349.9987595806547
1,2021-11-28T19:45:00Z,254.525,2021-11-26T19:15:00,2021-12-02T00:00:00,291.0938604229764,309.4239094585223,381.92287610076846,313.0489680042116,341.025990242267
1,2021-11-28T20:00:00Z,250.805,2021-11-26T19:15:00,2021-12-02T00:00:00,289.408062456171,309.82356892989765,391.0367436557215,314.13300865643896,352.64710439292764
1,2021-11-28T20:15:00Z,207.793,2021-11-26T19:15:00,2021-12-02T00:00:00,269.0736092048768,287.3693517507677,357.58066311721177,292.32556687781323,320.34407282617593
1,2021-11-28T20:30:00Z,256.469,2021-11-26T19:15:00,2021-12-02T00:00:00,292.37696119451,314.482597067863,387.00818998505986,315.06674372772477,342.90500752088
1,2021-11-28T20:45:00Z,271.542,2021-11-26T19:15:00,2021-12-02T00:00:00,300.17257701931266,320.84421193813967,396.0894438669334,323.37143433588494,351.43119635607115
1,2021-11-28T21:00:00Z,264.457,2021-11-26T19:15:00,2021-12-02T00:00:00,292.0986718061107,313.23483298043567,389.25703741504867,317.02838073171716,349.0439941043711
1,2021-11-28T21:15:00Z,214.482,2021-11-26T19:15:00,2021-12-02T00:00:00,270.440531176473,292.5361258499341,365.05792682267213,294.68357410638504,322.7079323276604
1,2021-11-28T21:30:00Z,255.068,2021-11-26T19:15:00,2021-12-02T00:00:00,295.19375832187285,314.5339217912844,395.05145934350855,319.6127624121337,346.52205894336805
1,2021-11-28T21:45:00Z,304.655,2021-11-26T19:15:00,2021-12-02T00:00:00,301.9269387554885,320.05630214238255,389.99105567829554,325.2149712679071,350.16122807344243
1,2021-11-28T22:00:00Z,368.594,2021-11-26T19:15:00,2021-12-02T00:00:00,308.5088030752178,327.78266791877115,405.21658271936303,330.8787652334567,358.92867615201305
1,2021-11-28T22:15:00Z,389.734,2021-11-26T19:15:00,2021-12-02T00:00:00,281.9087338991906,301.79924459678176,379.27038081066297,306.8228990537485,341.46325703311965
1,2021-11-28T22:30:00Z,444.303,2021-11-26T19:15:00,2021-12-02T00:00:00,307.5514319172422,327.1004852823172,397.79114037552984,329.7027204542797,357.41703770736166
1,2021-11-28T22:45:00Z,461.775,2021-11-26T19:15:00,2021-12-02T00:00:00,315.14977674205727,334.03207788583074,415.42962615375166,339.9470768575682,376.9705617689434
1,2021-11-28T23:00:00Z,459.73,2021-11-26T19:15:00,2021-12-02T00:00:00,316.97780888308705,335.21185770510556,412.1522830111705,342.28797677201567,370.44403499192777
1,2021-11-28T23:15:00Z,389.707,2021-11-26T19:15:00,2021-12-02T00:00:00,298.1656057973863,318.26442800898826,402.2357750775385,325.4065662660206,355.1941457312388
1,2021-11-28T23:30:00Z,361.009,2021-11-26T19:15:00,2021-12-02T00:00:00,326.72441949511887,347.7289019799122,425.6879828739667,349.73701550656483,383.59101116947323
1,2021-11-28T23:45:00Z,438.818,2021-11-26T19:15:00,2021-12-02T00:00:00,340.0912478869565,365.0389674518543,446.1179752075882,369.8983292166366,399.0078614664509
1,2021-11-29T00:00:00Z,403.348,2021-11-26T19:15:00,2021-12-02T00:00:00,355.3741441467347,382.68970667465766,477.38495096513634,386.27939221831605,426.015809352955
1,2021-11-29T00:15:00Z,495.071,2021-11-26T19:15:00,2021-12-02T00:00:00,334.7963312895942,363.714944336962,444.6430970170745,364.8923991481455,402.9846034693667
1,2021-11-29T00:30:00Z,481.879,2021-11-26T19:15:00,2021-12-02T00:00:00,362.24429501375005,390.76283458743285,473.2759821469006,393.45882585985896,431.5964512452157
1,2021-11-29T00:45:00Z,293.216671875,2021-11-26T19:15:00,2021-12-02T00:00:00,365.6911804169175,390.3060758593891,484.4815977152049,396.8922550471813,432.9335959606291
1,2021-11-29T01:00:00Z,292.9385417480469,2021-11-26T19:15:00,2021-12-02T00:00:00,370.39319757767805,397.7909812456163,496.9667049384546,403.56374701636264,443.6919193204561
1,2021-11-29T01:15:00Z,292.66842521286014,2021-11-26T19:15:00,2021-12-02T00:00:00,352.79445525884114,380.6048000963533,467.65304945511724,383.0182928952236,422.21204247998037
1,2021-11-29T01:30:00Z,403.603,2021-11-26T19:15:00,2021-12-02T00:00:00,373.68368051607297,402.6261323553994,485.83487218756443,400.39987923881364,435.4312051279565
1,2021-11-29T01:45:00Z,427.748,2021-11-26T19:15:00,2021-12-02T00:00:00,379.65049727778455,404.2562423919506,503.2722356196612,407.6890769122762,445.6602279179866
1,2021-11-29T02:00:00Z,441.325,2021-11-26T19:15:00,2021-12-02T00:00:00,373.9216828368775,400.101113680195,491.42032912829507,404.11655437501315,445.021142605079
1,2021-11-29T02:15:00Z,435.034,2021-11-26T19:15:00,2021-12-02T00:00:00,352.20651479508746,380.2911952882212,477.2803871223482,383.58251861085006,418.7999017898402
1,2021-11-29T02:30:00Z,453.292,2021-11-26T19:15:00,2021-12-02T00:00:00,383.38960136624183,411.25774323564235,506.3271250740915,414.0591152289462,449.6650989161582
1,2021-11-29T02:45:00Z,461.919,2021-11-26T19:15:00,2021-12-02T00:00:00,389.7699534800921,412.94284159238623,511.6901160263107,420.9301166206163,454.12476862972255
1,2021-11-29T03:00:00Z,472.852,2021-11-26T19:15:00,2021-12-02T00:00:00,386.0579597669704,411.7600705828325,503.1815616275063,416.40659996289696,457.5963289626292
1,2021-11-29T03:15:00Z,428.379,2021-11-26T19:15:00,2021-12-02T00:00:00,370.9047326931678,395.9563713677393,485.83506690142485,399.7730785300211,443.2015208241695
1,2021-11-29T03:30:00Z,455.676,2021-11-26T19:15:00,2021-12-02T00:00:00,387.97073180312725,412.2344667059166,481.05930892488203,411.7792867634398,446.51979876423366
1,2021-11-29T03:45:00Z,464.914,2021-11-26T19:15:00,2021-12-02T00:00:00,381.45260006636965,403.37239351358755,494.92911951193764,406.76970489731855,441.306383290014
1,2021-11-29T04:00:00Z,462.562,2021-11-26T19:15:00,2021-12-02T00:00:00,388.97595736315907,413.9090460386392,498.9634740407475,414.6388786276728,453.89353000176044
1,2021-11-29T04:15:00Z,359.523,2021-11-26T19:15:00,2021-12-02T00:00:00,362.6552649807403,387.0579049330169,470.850287506908,389.8300716621237,425.08334585769035
1,2021-11-29T04:30:00Z,436.185,2021-11-26T19:15:00,2021-12-02T00:00:00,380.7116844919227,405.59970950179957,486.78284772097476,407.01037076308,441.2611659721855
1,2021-11-29T04:45:00Z,413.797,2021-11-26T19:15:00,2021-12-02T00:00:00,380.08882701254265,402.4762122962874,500.0846362080377,409.8383060977565,436.73451780095564
1,2021-11-29T05:00:00Z,343.923,2021-11-26T19:15:00,2021-12-02T00:00:00,382.43479179526815,408.4242149641608,500.20234696523573,411.62307580182585,446.87182152082016
1,2021-11-29T05:15:00Z,284.796,2021-11-26T19:15:00,2021-12-02T00:00:00,344.42485706118316,368.84806790786496,453.89982068183826,371.46679006892,405.6114531885111
1,2021-11-29T05:30:00Z,325.006,2021-11-26T19:15:00,2021-12-02T00:00:00,358.5585280810249,380.0065492919392,467.2921335320815,385.2668279215224,416.28418444544843
1,2021-11-29T05:45:00Z,366.215,2021-11-26T19:15:00,2021-12-02T00:00:00,357.9331658366667,379.97239567805974,464.0009427548388,383.6565375912486,418.6090023269803
1,2021-11-29T06:00:00Z,371.726,2021-11-26T19:15:00,2021-12-02T00:00:00,356.13672840694767,379.43447722233566,459.30353669091784,382.1877254862109,420.20156431842895
1,2021-11-29T06:15:00Z,309.689,2021-11-26T19:15:00,2021-12-02T00:00:00,331.058369332021,354.0261170980615,430.3622995433514,354.26076312041675,386.9941028553008
1,2021-11-29T06:30:00Z,332.776,2021-11-26T19:15:00,2021-12-02T00:00:00,342.52523358897326,364.3409723626124,440.65359296176183,370.05828871760826,402.7834360658052
1,2021-11-29T06:45:00Z,341.942,2021-11-26T19:15:00,2021-12-02T00:00:00,346.45781107087583,367.88599339622704,457.25830274586843,373.2000872980247,410.5123737861879
1,2021-11-29T07:00:00Z,338.966,2021-11-26T19:15:00,2021-12-02T00:00:00,343.32231835448033,365.8294077768739,442.94379481013885,366.73195012582136,403.4103930352959
1,2021-11-29T07:15:00Z,276.358,2021-11-26T19:15:00,2021-12-02T00:00:00,316.1810086801486,341.28381975162483,418.9655347701963,344.7299704284161,381.34266493933285
1,2021-11-29T07:30:00Z,312.638,2021-11-26T19:15:00,2021-12-02T00:00:00,342.0658249351171,365.64398328196324,440.87522489113036,367.81232849193356,402.40833463302886
1,2021-11-29T07:45:00Z,307.471,2021-11-26T19:15:00,2021-12-02T00:00:00,340.1077377462253,361.6593123138923,441.3551896209433,364.46999546834206,395.14610586580886
1,2021-11-29T08:00:00Z,305.548,2021-11-26T19:15:00,2021-12-02T00:00:00,336.6087521496937,358.4551376103238,443.85430932771925,362.3667131741794,393.050003846038
1,2021-11-29T08:15:00Z,244.743,2021-11-26T19:15:00,2021-12-02T00:00:00,313.8053385109262,337.7449010271016,415.27250115611696,340.92754014440715,372.8831953612393
1,2021-11-29T08:30:00Z,292.499,2021-11-26T19:15:00,2021-12-02T00:00:00,327.2692679565399,350.37132857218774,422.9142567289611,350.8327853654622,378.58845132655836
1,2021-11-29T08:45:00Z,331.005,2021-11-26T19:15:00,2021-12-02T00:00:00,328.2105301673845,347.378770524132,433.2524803027639,354.32410188827896,387.62797838097225
1,2021-11-29T09:00:00Z,339.039,2021-11-26T19:15:00,2021-12-02T00:00:00,326.3358524150194,346.61557030423444,419.28990039376885,352.0435317694561,381.551085927806
1,2021-11-29T09:15:00Z,277.009,2021-11-26T19:15:00,2021-12-02T00:00:00,309.1091119126628,331.7857318460998,415.306415077457,338.18845244207,378.9317477681184
1,2021-11-29T09:30:00Z,309.901,2021-11-26T19:15:00,2021-12-02T00:00:00,322.40942109356854,343.8139991534728,435.54945446275195,353.02060558666534,394.9298881144805
1,2021-11-29T09:45:00Z,344.018,2021-11-26T19:15:00,2021-12-02T00:00:00,325.6095038852266,345.53606405390957,423.0474373862477,349.7192818579678,378.1846068138
1,2021-11-29T10:00:00Z,354.33,2021-11-26T19:15:00,2021-12-02T00:00:00,325.9566390515033,345.75840244044355,431.9118661979799,351.49168704384994,383.13035181749785
1,2021-11-29T10:15:00Z,288.465,2021-11-26T19:15:00,2021-12-02T00:00:00,300.09616290258816,321.1956463865481,406.2518417950202,324.8289938409523,357.3432995152872
1,2021-11-29T10:30:00Z,312.602,2021-11-26T19:15:00,2021-12-02T00:00:00,315.62754858521106,340.02539557647555,419.1872423519233,342.14378094899814,375.2562069752342
1,2021-11-29T10:45:00Z,283.503,2021-11-26T19:15:00,2021-12-02T00:00:00,321.33681052605186,344.33681692787394,427.75312823102894,348.5498712918014,387.44869875264584
1,2021-11-29T11:00:00Z,208.542,2021-11-26T19:15:00,2021-12-02T00:00:00,319.7736095457153,341.01355129175283,425.6523762416908,345.9906020281231,387.0604774524651
1,2021-11-29T11:15:00Z,293.925,2021-11-26T19:15:00,2021-12-02T00:00:00,299.2323264109591,322.4512194030807,402.5943426891147,326.6261834275246,360.5720264382434
1,2021-11-29T11:30:00Z,341.106,2021-11-26T19:15:00,2021-12-02T00:00:00,314.6792772655352,338.54582130798997,421.22701065146975,344.73020525975437,371.55140918787157
1,2021-11-29T11:45:00Z,315.635,2021-11-26T19:15:00,2021-12-02T00:00:00,322.76597768204323,347.07308889961377,427.25973263006574,350.90642095467126,382.6502765761455
1,2021-11-29T12:00:00Z,324.942,2021-11-26T19:15:00,2021-12-02T00:00:00,318.6923013354956,344.6171168183839,420.4678963875557,345.5262067379171,383.5049774562156
